                      AS264668      NEDETEL S.A., EC
45.70.198.0/24        AS52468       UFINET PANAMA S.A., PA
                      AS264668      NEDETEL S.A., EC
45.70.202.0/24        AS52468       UFINET PANAMA S.A., PA
                      AS264668      NEDETEL S.A., EC
45.70.236.0/24        AS52468       UFINET PANAMA S.A., PA
                      AS264668      NEDETEL S.A., EC
45.71.185.0/24        AS52468       UFINET PANAMA S.A., PA
                      AS264668      NEDETEL S.A., EC
45.71.201.0/24        AS52468       UFINET PANAMA S.A., PA
                      AS264668      NEDETEL S.A., EC
45.71.202.0/24        AS52468       UFINET PANAMA S.A., PA
                      AS264668      NEDETEL S.A., EC
45.119.104.0/22       AS4808        CHINA169-BJ China Unicom Beijing Province Network, CN
                      AS4847        CNIX-AP China Networks Inter-Exchange, CN
45.121.212.0/22       AS137451      TELECOM-AS-AP Hong Kong Business Telecom Limited, HK
                      AS64021       NETWORK-TRANSIT Network-Transit, CN
45.121.212.0/24       AS137451      TELECOM-AS-AP Hong Kong Business Telecom Limited, HK
                      AS64021       NETWORK-TRANSIT Network-Transit, CN
45.121.213.0/24       AS137451      TELECOM-AS-AP Hong Kong Business Telecom Limited, HK
                      AS64021       NETWORK-TRANSIT Network-Transit, CN
45.125.113.0/24       AS64047       VKT-HK Viking Telecom Limited, HK
                      AS58779       I4HKLIMITED-AS i4HK Limited, HK
45.127.144.0/21       AS63614       QISHANGONLINE A4, 5th Floor, Tower C, Triumph Plaza, Unit A, No 143, CN
                      AS4847        CNIX-AP China Networks Inter-Exchange, CN
45.154.212.0/24       AS50131       SPARTANHOST, GB
                      AS201106      SPARTANHOST, GB
45.162.24.0/22        AS268525      MAYARA MARQUES FIGUEIREDO MANUTENCAO EIRELI, BR
                      AS258525      --No Registry Entry--
45.181.205.0/24       AS264646      DOBLECLICK SOFTWARE E INGENERIA, CO
                      AS269746      Tierranet S.A.S., CO
45.182.41.0/24        AS264646      DOBLECLICK SOFTWARE E INGENERIA, CO
                      AS269746      Tierranet S.A.S., CO
45.185.163.0/24       AS52468       UFINET PANAMA S.A., PA
                      AS264668      NEDETEL S.A., EC
45.186.212.0/22       AS3           MIT-GATEWAYS, US
                      AS269436      Out Service Telecom Servicos Eireli, BR
45.207.43.0/24        AS133861      HUPOLIMITED-AS-AP HUPO LIMITED, HK
                      AS133199      SONDERCLOUDLIMITED-AS-AP SonderCloud Limited, HK
45.215.252.0/24       AS327708      AIRTEL-, RW
                      AS37287       ZAIN-ZAMBIA, ZM
45.224.98.0/24        AS52468       UFINET PANAMA S.A., PA
                      AS264668      NEDETEL S.A., EC
45.224.152.0/24       AS52468       UFINET PANAMA S.A., PA
                      AS264668      NEDETEL S.A., EC
45.224.154.0/24       AS52468       UFINET PANAMA S.A., PA
                      AS264668      NEDETEL S.A., EC
45.225.44.0/22        AS52468       UFINET PANAMA S.A., PA
                      AS264668      NEDETEL S.A., EC
45.225.46.0/24        AS52468       UFINET PANAMA S.A., PA
                      AS264668      NEDETEL S.A., EC
45.225.104.0/24       AS52468       UFINET PANAMA S.A., PA
                      AS264668      NEDETEL S.A., EC
45.225.105.0/24       AS52468       UFINET PANAMA S.A., PA
                      AS264668      NEDETEL S.A., EC
45.225.107.0/24       AS52468       UFINET PANAMA S.A., PA
                      AS264668      NEDETEL S.A., EC
45.229.120.0/22       AS267114      LINK NET BANDA LARGA EIRELI - ME, BR
                      AS2           UDEL-DCN, US
45.231.184.0/22       AS264646      DOBLECLICK SOFTWARE E INGENERIA, CO
                      AS266737      UNIVERSIDAD DEL CAUCA, CO
45.232.137.0/24       AS272213      POUPA NET TELECOM LTDA, BR
                      AS267321      SRD TELECOM EIRELI ME, BR
45.232.251.0/24       AS266567      LEANDRO DE JESUS CHAVES, BR
                      AS52554       S. A. da Silva Junior, BR
45.250.40.0/22        AS56041       CMNET-ZHEJIANG-AP China Mobile communications corporation, CN
                      AS58461       CT-HANGZHOU-IDC No.288,Fu-chun Road, CN
45.251.88.0/22        AS17816       CHINA169-GZ China Unicom IP network China169 Guangdong province, CN
                      AS58466       CT-GUANGZHOU-IDC CHINANET Guangdong province network, CN
46.3.243.0/24         AS38136       AKARI-NETWORKS-AS-AP Akari Networks, HK
                      AS1239        SPRINTLINK, US
46.252.16.0/20        AS8972        GD-EMEA-DC-SXB1, DE
